,city,city_id,latitude,longitude,temperature,cloudiness,humidity,wind_speed
0,Hermanus,3366880,-34.4187,19.2345,57.0,76,84,2.51
1,Jinchang,1805733,38.4953,102.1739,42.28,100,82,11.54
2,Rikitea,4030556,-23.1203,-134.9692,79.12,96,70,19.22
3,Atuona,4020109,-9.8,-139.0333,80.28,25,79,21.74
4,Novikovo,487928,51.1537,37.8879,52.45,96,74,7.63
5,Busselton,2075265,-33.65,115.3333,59.07,59,79,6.67
6,Albany,5106841,42.6001,-73.9662,54.46,17,27,5.01
7,Lensk,2020838,60.7253,114.9278,31.33,100,95,11.5
8,Port-Gentil,2396518,-0.7193,8.7815,80.64,82,75,6.69
9,Acajutla,3587498,13.5928,-89.8275,84.27,0,48,9.53
10,Tromsø,6453316,69.6496,18.957,35.47,40,80,4.61
11,Merauke,2082539,-8.4667,140.3333,78.21,89,87,5.17
12,Barrow,5880054,71.2906,-156.7887,12.2,1,85,3.44
13,Englewood,5421250,39.6478,-104.9878,51.96,75,32,6.91
14,Kuril'sk,2123979,45.2333,147.8833,34.02,64,90,6.06
15,Esim,2303611,4.8699,-2.2405,84.24,99,73,9.93
16,Katsuura,2112309,35.1333,140.3,53.78,0,67,13.8
17,Lavrentiya,4031637,65.5833,-171.0,23.32,94,72,2.66
18,Vila Franca do Campo,3372472,37.7167,-25.4333,60.8,40,67,28.77
19,Yellowknife,6185377,62.456,-114.3525,14.38,90,62,11.5
20,Kargasok,1504382,59.0556,80.8572,28.67,11,89,5.7
21,Dhidhdhoo,1337612,6.8833,73.1,83.82,16,72,6.53
22,Chui,3443061,-33.6971,-53.4616,73.99,34,62,12.15
23,Mil'kovo,2123278,54.7167,158.6167,31.23,91,91,1.74
24,New Norfolk,2155415,-42.7826,147.0587,48.96,95,79,1.01
25,Lagoa,3372964,39.05,-27.9833,57.67,7,77,33.73
26,Upernavik,3418910,72.7868,-56.1549,32.95,100,69,5.66
27,Cape Town,3369157,-33.9258,18.4232,60.8,0,82,5.75
28,Makurdi,2331140,7.7411,8.5121,95.76,24,39,13.58
29,Punta Arenas,3874787,-53.15,-70.9167,48.09,75,93,4.61
30,Thompson,6165406,55.7435,-97.8558,24.8,40,42,9.22
31,Ostrovnoy,556268,68.0531,39.5131,33.78,100,87,11.23
32,Victor Harbor,2059470,-35.5667,138.6167,53.01,100,90,6.78
33,Longyearbyen,2729907,78.2186,15.6401,15.8,0,67,4.61
34,Itapirapuã,3460697,-15.8233,-50.6133,88.0,4,32,1.45
35,Pecos,5528182,31.4229,-103.4932,76.87,1,11,19.57
36,Kapaa,5848280,22.0752,-159.319,71.53,40,78,12.66
37,Cabedelo,3404558,-6.9811,-34.8339,86.0,75,70,12.66
38,Mahébourg,934322,-20.4081,57.7,78.8,40,83,9.22
39,Den Helder,2757220,52.9599,4.7593,50.0,27,62,5.75
40,Husavik,2629833,66.0449,-17.3389,51.8,0,58,10.36
41,Puerto Ayora,3652764,-0.7393,-90.3518,81.59,40,70,11.5
42,Winslow,5321473,35.0242,-110.6974,66.2,1,19,19.57
43,Togur,1489499,58.3631,82.8265,26.37,7,92,3.74
44,Leh,1264976,34.1667,77.5833,31.44,100,73,6.67
45,Cabo San Lucas,3985710,22.8909,-109.9124,76.48,40,38,6.91
46,Dingle,1714733,10.9995,122.6711,77.27,100,81,6.15
47,Nioro,2412408,13.35,-15.75,104.13,37,9,4.45
48,Nikel,522260,69.4128,30.222,35.6,75,60,9.22
49,Saskylakh,2017155,71.9167,114.0833,31.42,100,98,11.65
50,Ushuaia,3833367,-54.8,-68.3,42.8,75,87,2.84
51,Luanda,2240449,-8.8368,13.2343,78.8,75,89,6.91
52,Rocha,3440777,-34.4833,-54.3333,75.0,6,57,11.81
53,Chokurdakh,2126123,70.6333,147.9167,-13.76,48,99,2.75
54,Bredasdorp,1015776,-34.5322,20.0403,57.2,48,77,2.3
55,Tuktoyaktuk,6170031,69.4541,-133.0374,10.4,75,79,8.05
56,Butaritari,2110227,3.0707,172.7902,81.37,97,77,8.66
57,Beloha,1067565,-25.1667,45.05,74.62,49,70,14.81
58,Lompoc,5367788,34.6391,-120.4579,50.79,58,76,6.2
59,Iquique,3887127,-20.2208,-70.1431,69.8,20,60,14.97
60,Bluff,2206939,-46.6,168.3333,44.01,28,95,1.99
61,Vaini,4032243,-21.2,-175.2,73.4,20,25,3.44
62,Narsaq,3421719,60.9167,-46.05,48.2,40,43,9.22
63,Grindavik,3416888,63.8424,-22.4338,44.6,90,100,20.71
64,Kabinda,215527,-6.1333,24.4833,74.21,100,78,4.38
65,Hilo,5855927,19.7297,-155.09,67.73,90,73,6.91
66,Antalaha,1071296,-14.9003,50.2788,73.35,98,92,5.57
67,Kahului,5847411,20.8947,-156.47,69.62,20,78,9.22
68,Port Alfred,964432,-33.5906,26.891,68.94,2,73,25.14
69,Kokkola,651943,63.8385,23.1307,33.24,90,93,10.36
70,Deputatsky,2028164,69.3,139.9,-6.41,97,99,3.65
71,Karratha,6620339,-20.7377,116.8463,77.79,1,37,6.6
72,Mercedes,3430708,-34.6515,-59.4307,80.33,74,60,3.0
73,Katherine,2068655,-14.4667,132.2667,66.2,14,63,6.91
74,Bowen,2174444,-20.0167,148.2333,66.2,90,94,11.5
75,Belle Fourche,5762718,44.6714,-103.8522,30.65,100,78,3.0
76,Torbay,6167817,47.6666,-52.7314,46.6,75,53,25.32
77,San Cristobal,3628473,7.7669,-72.225,89.6,20,55,14.97
78,Airai,1651810,-8.9266,125.4092,57.38,43,91,2.51
79,Donskoye,565289,45.4552,41.9741,52.39,0,62,8.95
80,Mataura,6201424,-46.1927,168.8643,44.01,30,95,1.99
81,Ponta do Sol,2264557,32.6667,-17.1,62.15,38,75,11.01
82,El Rodeo,3596249,14.9167,-91.9667,78.51,75,62,4.61
83,Laiyang,1804586,36.9758,120.7136,55.99,100,92,10.07
84,Santa Engracia,3108269,41.9406,-1.3245,69.98,76,30,17.27
85,Cluses,3024532,46.0625,6.575,62.73,20,19,5.75
86,San Julián,3985797,21.0167,-102.1667,83.01,30,50,13.02
87,Fort Nelson,5955902,58.8053,-122.7002,30.2,75,47,10.36
88,Jurm,1139085,36.8648,70.8342,46.04,1,50,5.1
89,Necochea,3430443,-38.5473,-58.7368,66.99,100,86,8.99
90,Saint Anthony,5044290,45.0205,-93.218,49.01,90,57,11.5
91,Aden,415189,12.7794,45.0367,82.24,0,79,15.46
92,Uinskoye,479442,56.8817,56.5813,40.24,100,89,5.57
93,Terrace,6162949,54.5163,-128.6035,46.4,75,42,16.11
94,Kimbe,2093967,-5.5502,150.1429,75.09,100,96,2.06
95,Qaanaaq,3831208,77.484,-69.3632,23.23,100,82,8.28
96,Hagi,1863418,34.4,131.4167,55.99,77,64,1.99
97,Hithadhoo,1282256,-0.6,73.0833,82.35,22,74,6.8
98,Onega,515246,63.9061,38.1404,48.79,100,79,8.79
99,Leavenworth,4274307,39.2333,-95.0336,53.04,100,76,3.0
100,Corcoran,5339539,36.098,-119.5604,63.01,1,59,5.75
101,Valparaíso,3868626,-33.0393,-71.6273,59.34,90,72,3.44
102,Ankang,1789065,32.68,109.0172,55.0,100,33,14.0
103,Akhtubinsk,583798,48.2795,46.1722,52.11,51,81,3.36
104,Sumaré,6322600,-22.8374,-47.252,77.0,20,41,4.88
105,Maniago,3174084,46.1706,12.7078,64.81,20,52,9.22
106,Avarua,4035715,-21.2078,-159.775,78.8,98,83,10.36
107,Zhangzhou,1785018,24.5133,117.6556,75.2,20,64,11.18
108,East London,1006984,-33.0153,27.9116,66.2,0,82,10.36
109,Cherskiy,2126199,68.75,161.3,16.2,100,92,9.19
110,Yermekeyevo,467260,54.0761,53.6712,45.54,100,86,12.37
111,Pimentel,3693584,-6.8367,-79.9342,73.98,0,61,17.27
112,Tasiilaq,3424607,65.6145,-37.6368,35.6,90,60,3.44
113,Saint Paul Harbor,5866583,57.79,-152.4072,41.0,90,87,6.91
114,George Town,1735106,5.4112,100.3354,78.33,40,94,3.44
115,Oranjemund,3354071,-28.55,16.4333,61.14,2,89,8.08
116,Kyra,2021041,49.5776,111.9753,35.8,91,75,1.16
