city,city_id,country,utc_dt,latitude,longitude,temperature,max_temp,cloudiness,humidity,wind_speed
Egvekinot,4031742,RU,1619410535,66.3167,-179.1667,29.05,29.05,15,89,0.43
Ushuaia,3833367,AR,1619410536,-54.8,-68.3,46.4,46.4,75,76,12.66
Punta Arenas,3874787,CL,1619409996,-53.15,-70.9167,44.29,44.6,90,93,5.75
Yellowknife,6185377,CA,1619410536,62.456,-114.3525,6.4,6.8,90,78,12.66
Atambua,1651103,ID,1619410537,-9.1061,124.8925,82.76,82.76,26,45,2.44
Qaanaaq,3831208,GL,1619410537,77.484,-69.3632,28.04,28.04,8,63,9.17
Hermanus,3366880,ZA,1619410505,-34.4187,19.2345,60.01,60.01,1,92,7.0
Bredasdorp,1015776,ZA,1619409996,-34.5322,20.0403,51.8,51.8,93,93,4.61
Avarua,4035715,CK,1619410302,-21.2078,-159.775,80.6,80.6,20,78,5.75
Puerto Lleras,3671424,CO,1619410538,3.0223,-73.4044,74.41,74.41,93,94,2.15
Blagoyevo,576093,RU,1619410539,63.3667,47.9167,39.36,39.36,100,92,4.27
Fort Nelson,5955902,CA,1619410539,58.8053,-122.7002,48.2,48.2,75,25,19.57
Ambulu,1621313,ID,1619410540,-8.345,113.6058,86.86,86.86,1,59,6.38
Port Alfred,964432,ZA,1619410491,-33.5906,26.891,71.19,71.19,93,44,7.58
Knysna,988698,ZA,1619410540,-34.0363,23.0471,60.8,60.8,0,82,4.61
Rikitea,4030556,PF,1619410324,-23.1203,-134.9692,77.88,77.88,28,74,4.79
Yārāda,1252783,IN,1619410526,17.65,83.2667,87.8,87.8,20,66,8.05
Ribeira Grande,3372707,PT,1619410541,38.5167,-28.7,59.0,59.0,20,72,4.61
Vanavara,2013727,RU,1619410541,60.34,102.2797,32.41,32.41,83,65,13.02
Husum,2897132,DE,1619410542,54.4858,9.0524,28.72,30.99,20,86,1.14
Port Lincoln,2063036,AU,1619410542,-34.7333,135.8667,66.36,66.36,3,62,8.05
Mapiripán,3792394,CO,1619410543,2.8892,-72.1256,76.21,76.21,84,86,3.58
Hong Kong,1819729,HK,1619410501,22.2855,114.1577,72.14,75.0,100,78,3.0
Isangel,2136825,VU,1619410543,-19.55,169.2667,82.4,82.4,75,74,11.5
Ust-Nera,2120048,RU,1619410543,64.5667,143.2,22.84,22.84,100,80,5.86
Longyearbyen,2729907,SJ,1619410544,78.2186,15.6401,14.0,14.0,20,67,1.14
New Norfolk,2155415,AU,1619410333,-42.7826,147.0587,59.29,66.2,40,45,18.41
Yulara,6355222,AU,1619410544,-25.2406,130.9889,77.0,77.0,0,20,11.5
