,city,city_id,latitude,longitude,temperature,cloudiness,humidity,wind_speed
0,Kapaa,5848280,22.0752,-159.319,69.96,75,78,12.66
1,Kaitangata,2208248,-46.2817,169.8464,50.0,39,88,1.99
2,Kogon,1217180,39.7228,64.5517,71.6,0,26,4.61
3,Rikitea,4030556,-23.1203,-134.9692,78.94,95,71,20.24
4,Ushuaia,3833367,-54.8,-68.3,42.8,90,87,2.26
5,Mataura,6201424,-46.1927,168.8643,45.0,29,96,5.01
6,Hilo,5855927,19.7297,-155.09,66.02,90,78,6.91
7,Sitka,5557293,57.0531,-135.33,44.6,1,57,4.34
8,Jamestown,5122534,42.097,-79.2353,49.17,1,49,8.05
9,Chokurdakh,2126123,70.6333,147.9167,-13.5,41,99,3.31
10,Carnarvon,2074865,-24.8667,113.6333,69.8,1,83,10.36
11,La Ronge,6050066,55.1001,-105.2842,24.8,63,46,10.36
12,Hobart,2163355,-42.8794,147.3294,52.83,90,62,10.36
13,Dikson,1507390,73.5069,80.5464,32.36,100,97,20.8
14,Port Alfred,964432,-33.5906,26.891,69.3,3,74,26.08
15,Mahébourg,934322,-20.4081,57.7,78.8,75,83,11.5
16,Macusani,3935624,-14.0833,-70.4333,50.0,7,41,8.97
17,Punta Arenas,3874787,-53.15,-70.9167,46.2,90,93,3.44
18,Lavrentiya,4031637,65.5833,-171.0,23.85,100,72,3.11
19,Kyabé,2429344,9.4515,18.9449,98.2,44,26,5.06
20,Yar-Sale,1486321,66.8333,70.8333,35.04,100,99,12.68
21,Vaini,4032243,-21.2,-175.2,73.4,20,94,3.44
22,Saint-Joseph,6690296,-21.3667,55.6167,72.68,75,78,11.5
23,Lamas,3695757,-6.4167,-76.5333,89.6,20,55,3.44
24,Nara,1855612,34.6851,135.8049,57.7,100,61,4.09
25,Serebryanyy Bor,2016977,56.8,124.8,24.28,100,85,12.57
26,Nova Olímpia,3456137,-14.7972,-57.2881,90.82,26,42,5.32
27,Pacifica,5380420,37.6138,-122.4869,51.37,1,87,5.75
28,Linhares,3458498,-19.3911,-40.0722,85.8,42,50,4.94
29,Hermanus,3366880,-34.4187,19.2345,63.0,70,77,1.99
30,Busselton,2075265,-33.65,115.3333,59.07,49,79,1.01
31,Ilulissat,3423146,69.2167,-51.1,39.2,20,48,19.57
